transactionid,date,region,product,business_unit,customer,revenue,cogs,operating_expense,interest,tax,financial_metric,actual,budget,month,year,gross_profit,ebitda,net_profit,net_profit_margin
TXN00479,2025-05-15,East,Wireless Keyboard,South Region,Acart,294587.0,167448,42735,3023,16276,Gross Profit,5770000,5308400,May,2025,127139,84404,65105,0.221
TXN00457,2024-07-15,East,Laptop Pro 14,North Region,Dezon,224744.0,131428,46400,5334,8316,Operating Expenses,3045000,3197250,Jul,2024,93316,46916,33266,0.148
TXN00437,2024-11-15,West,Laser Printer,North Region,Yotek,229585.0,132452,89149,5211,554,Revenue,12255000,11274600,Nov,2024,97133,7984,2219,0.0097
TXN00453,2025-03-15,East,Business Laptop 15,East Region,Rapro,226621.0,134189,39384,5489,9511,Gross Profit,5665000,5211800,Mar,2025,92432,53048,38048,0.1679
TXN00155,2025-05-15,South,Desktop Workstation,West Region,Yohub,267725.0,153113,49232,4339,12208,Operating Expenses,3535000,3711750,May,2025,114612,65380,48833,0.1824
TXN00025,2024-07-15,North,Wireless Mouse,North Region,Azon,284865.0,170729,50529,4340,11853,Operating Expenses,3000000,3150000,Jul,2024,114136,63607,47414,0.1664
TXN00092,2025-02-15,West,Desktop Workstation,South Region,Ivpro,319760.0,188788,73443,2465,11012,Gross Profit,5575000,5129000,Feb,2025,130972,57529,44052,0.1378
TXN00183,2024-09-15,South,Noise Cancelling Headset,South Region,Kagen,339943.0,192575,84526,2005,12167,Net Profit,1620000,1490400,Sep,2024,147368,62842,48670,0.1432
TXN00049,2024-07-15,North,Laptop Pro 14,North Region,Asys,151777.0,88635,56655,2243,848,Revenue,12005000,11044600,Jul,2024,63142,6487,3396,0.0224
TXN00251,2025-05-15,North,Bluetooth Speaker,East Region,Zahub,383063.0,224107,32565,4096,24459,Operating Expenses,3545000,3722250,May,2025,158956,126391,97836,0.2554
TXN00371,2025-05-15,North,Ergonomic Mouse,North Region,Agen,243853.0,143138,36755,5211,11749,Revenue,12560000,11555200,May,2025,100715,63960,47000,0.1927
TXN00105,2025-03-15,East,4K Monitor 32,West Region,Ortek,410631.0,240396,84836,5880,15903,Revenue,12430000,11435600,Mar,2025,170235,85399,63616,0.1549
TXN00249,2025-03-15,South,Laptop Stand,East Region,Palab,258174.0,150155,36625,3615,13555,Revenue,12445000,11449400,Mar,2025,108019,71394,54224,0.21
TXN00324,2025-06-15,West,Mechanical Keyboard,West Region,Elmax,428887.0,242574,33112,3373,29965,Gross Profit,5805000,5340600,Jun,2025,186313,153201,119863,0.2795
TXN00048,2025-06-15,South,USB-C Dock,South Region,Bezon,406882.0,243587,66849,6476,17994,Operating Expenses,3575000,3753750,Jun,2025,163295,96446,71976,0.1769
TXN00225,2025-03-15,West,USB-C Dock,North Region,Pazon,272497.0,160861,72620,2315,7340,Operating Expenses,3440000,3612000,Mar,2025,111636,39016,29361,0.1077
TXN00211,2025-01-15,North,Laptop Stand,East Region,Elpro,312021.0,180015,89079,6054,7374,Gross Profit,5535000,5092200,Jan,2025,132006,42927,29499,0.0945
TXN00151,2025-01-15,South,External SSD 1TB,South Region,Eltek,377620.0,224324,54510,4528,18851,Revenue,12330000,11343600,Jan,2025,153296,98786,75407,0.1997
TXN00461,2024-11-15,South,Business Laptop 15,North Region,Yozon,250332.0,147772,50243,5407,9382,Operating Expenses,3255000,3417750,Nov,2024,102560,52317,37528,0.1499
TXN00180,2025-06-15,West,Ergonomic Mouse,West Region,Capro,209666.0,121948,67346,4012,3272,Gross Profit,5790000,5326800,Jun,2025,87718,20372,13088,0.0624
TXN00250,2025-04-15,North,Business Laptop 15,East Region,Ulpro,180935.0,108139,50365,2211,4044,Gross Profit,5695000,5239400,Apr,2025,72796,22431,16176,0.0894
TXN00344,2025-02-15,East,External SSD 2TB,North Region,Luzon,423948.0,241989,73586,2093,21256,Operating Expenses,3400000,3570000,Feb,2025,181959,108373,85024,0.2006
TXN00188,2025-02-15,East,External SSD 2TB,East Region,Jopro,359509.0,209873,55337,2026,18454,Gross Profit,5585000,5138200,Feb,2025,149636,94299,73819,0.2053
TXN00259,2025-01-15,East,Wireless Mouse,West Region,Fimax,332506.0,186181,80860,5795,11934,Gross Profit,5540000,5096800,Jan,2025,146325,65465,47736,0.1436
TXN00316,2024-10-15,North,Wireless Mouse,South Region,Ralab,290023.0,171990,35598,6014,15284,Revenue,12190000,11214800,Oct,2024,118033,82435,61137,0.2108
TXN00470,2024-08-15,North,Noise Cancelling Headset,South Region,Ivpro,306704.0,172717,64753,6068,12633,Gross Profit,5300000,4876000,Aug,2024,133987,69234,50533,0.1648
TXN00053,2024-11-15,East,Office Monitor 24,East Region,Ultek,363307.0,211816,71461,2040,15598,Revenue,12215000,11237800,Nov,2024,151491,80030,62392,0.1717
TXN00127,2025-01-15,North,Office Printer,East Region,Dehub,235849.0,141246,67312,5741,4310,Operating Expenses,3325000,3491250,Jan,2025,94603,27291,17240,0.0731
TXN00044,2025-02-15,West,Wireless Mouse,West Region,Ivmax,243006.0,143044,89844,2259,1571,Gross Profit,5570000,5124400,Feb,2025,99962,10118,6288,0.0259
TXN00035,2025-05-15,East,Laptop Pro 14,East Region,Xelab,331300.0,188377,37063,6613,19849,Revenue,12525000,11523000,May,2025,142923,105860,79398,0.2397
TXN00014,2024-08-15,North,USB-C Dock,East Region,Degen,249056.0,147269,85253,5008,2305,Net Profit,1550000,1426000,Aug,2024,101787,16534,9221,0.037
TXN00500,2025-02-15,North,USB-C Dock,South Region,Migen,156868.0,88349,59163,2405,1390,Net Profit,1915000,1761800,Feb,2025,68519,9356,5561,0.0355
TXN00372,2025-06-15,East,Noise Cancelling Headset,North Region,Elpro,405910.0,236602,59710,5331,20853,Gross Profit,5810000,5345200,Jun,2025,169308,109598,83414,0.2055
TXN00012,2025-06-15,North,Webcam HD,East Region,Aflow,360327.0,198929,58913,5312,19434,Net Profit,2070000,1904400,Jun,2025,161398,102485,77739,0.2157
TXN00378,2024-12-15,North,Business Laptop 15,East Region,Bemax,293590.0,175772,75519,5950,7269,Gross Profit,5500000,5060000,Dec,2024,117818,42299,29080,0.099
TXN00460,2024-10-15,South,Laptop Stand,West Region,Titek,264593.0,150156,69328,3643,8293,Revenue,12205000,11228600,Oct,2024,114437,45109,33173,0.1254
TXN00314,2024-08-15,North,Office Printer,East Region,Hatek,332993.0,185580,66673,6711,14805,Revenue,12085000,11118200,Aug,2024,147413,80740,59224,0.1779
TXN00162,2024-12-15,South,External SSD 2TB,South Region,Amart,258842.0,145153,82244,6054,5078,Net Profit,1775000,1633000,Dec,2024,113689,31445,20313,0.0785
TXN00440,2025-02-15,East,Bluetooth Speaker,North Region,Mizon,329160.0,195490,65709,3367,12918,Operating Expenses,3410000,3580500,Feb,2025,133670,67961,51676,0.157
TXN00436,2024-10-15,South,Desktop Workstation,North Region,Suhub,333329.0,194077,33071,3232,20589,Operating Expenses,3200000,3360000,Oct,2024,139252,106181,82360,0.2471
TXN00190,2025-04-15,West,Webcam HD,West Region,Ultek,158631.0,93136,80159,2029,-3338,Revenue,12490000,11490800,Apr,2025,65495,-14664,-13355,-0.0842
TXN00346,2025-04-15,West,External SSD 1TB,North Region,Vipro,411284.0,226857,85235,6022,18634,Gross Profit,5705000,5248600,Apr,2025,184427,99192,74536,0.1812
TXN00207,2024-09-15,North,Laser Printer,West Region,Lumax,179771.0,105876,71666,3749,-304,Gross Profit,5325000,4899000,Sep,2024,73895,2229,-1216,-0.0068
TXN00160,2024-10-15,West,Bluetooth Speaker,North Region,Pagen,332525.0,192019,49035,5256,17243,Net Profit,1670000,1536400,Oct,2024,140506,91471,68972,0.2074
TXN00375,2024-09-15,North,Laptop Stand,West Region,Migen,185176.0,106840,47075,6417,4968,Net Profit,1640000,1508800,Sep,2024,78336,31261,19876,0.1073
TXN00215,2025-05-15,East,External SSD 1TB,West Region,Zasys,432623.0,252640,65204,6352,21685,Net Profit,2040000,1876800,May,2025,179983,114779,86742,0.2005
TXN00175,2025-01-15,East,Mechanical Keyboard,West Region,Elzon,261512.0,144516,82609,5175,5842,Operating Expenses,3330000,3496500,Jan,2025,116996,34387,23370,0.0894
TXN00047,2025-05-15,East,Webcam HD,East Region,Xepro,419586.0,241825,66102,5724,21187,Gross Profit,5725000,5267000,May,2025,177761,111659,84748,0.202
TXN00023,2025-05-15,East,Office Printer,South Region,Xesys,313007.0,172802,82834,5465,10381,Net Profit,2020000,1858400,May,2025,140205,57371,41525,0.1327
TXN00348,2025-06-15,East,Bluetooth Speaker,East Region,Elsys,372373.0,217572,45870,5838,20618,Net Profit,2105000,1936600,Jun,2025,154801,108931,82475,0.2215
TXN00283,2025-01-15,South,External SSD 1TB,West Region,Fisys,200457.0,112377,51484,2424,6834,Net Profit,1840000,1692800,Jan,2025,88080,36596,27338,0.1364
TXN00258,2024-12-15,North,External SSD 1TB,East Region,Anova,268474.0,159812,44207,2283,12434,Net Profit,1785000,1642200,Dec,2024,108662,64455,49738,0.1853
TXN00157,2024-07-15,East,Laptop Pro 14,North Region,Aware,165066.0,95841,65908,2494,164,Gross Profit,5215000,4797800,Jul,2024,69225,3317,659,0.004
TXN00260,2025-02-15,South,Office Printer,East Region,Kasys,300129.0,169769,75518,2830,10402,Net Profit,1890000,1738800,Feb,2025,130360,54842,41610,0.1386
TXN00261,2025-03-15,North,Wireless Keyboard,South Region,Papro,158339.0,88899,87141,6356,-4811,Gross Profit,5645000,5193400,Mar,2025,69440,-17701,-19246,-0.1215
TXN00013,2024-07-15,East,Office Monitor 24,West Region,Amax,441887.0,243686,60647,2432,27024,Gross Profit,5200000,4784000,Jul,2024,198201,137554,108098,0.2446
TXN00145,2024-07-15,North,Laptop Pro 16,West Region,Atron,365991.0,210134,31667,6702,23497,Revenue,12015000,11053800,Jul,2024,155857,124190,93991,0.2568
TXN00273,2025-03-15,North,External SSD 1TB,North Region,Pahub,200584.0,111807,47661,4615,7300,Operating Expenses,3445000,3617250,Mar,2025,88777,41116,29201,0.1456
TXN00494,2024-08-15,West,Desktop Workstation,West Region,Ivgen,330668.0,193082,84169,3346,10014,Net Profit,1600000,1472000,Aug,2024,137586,53417,40057,0.1211
TXN00386,2024-08-15,North,Laser Printer,East Region,Hahub,441714.0,246405,57034,3742,26906,Operating Expenses,3090000,3244500,Aug,2024,195309,138275,107627,0.2437
TXN00239,2025-05-15,East,Webcam HD,West Region,Zapro,221037.0,126671,84137,4031,1239,Gross Profit,5745000,5285400,May,2025,94366,10229,4959,0.0224
TXN00067,2025-01-15,North,Bluetooth Speaker,South Region,Demax,435509.0,250400,57225,2283,25120,Gross Profit,5520000,5078400,Jan,2025,185109,127884,100481,0.2307
TXN00126,2024-12-15,East,Office Monitor 24,West Region,Atek,372311.0,211439,74851,6040,15996,Revenue,12275000,11293000,Dec,2024,160872,86021,63985,0.1719
TXN00134,2024-08-15,West,Bluetooth Speaker,South Region,Fimax,192431.0,110481,47712,3098,6228,Gross Profit,5265000,4843800,Aug,2024,81950,34238,24912,0.1295
TXN00364,2024-10-15,West,Wireless Keyboard,North Region,Sutek,180722.0,99478,51403,2513,5465,Revenue,12195000,11219400,Oct,2024,81244,29841,21863,0.121
TXN00253,2024-07-15,North,Desktop Workstation,West Region,Bemax,215075.0,119944,44723,5354,9010,Gross Profit,5225000,4807000,Jul,2024,95131,50408,36044,0.1676
TXN00101,2024-11-15,North,Noise Cancelling Headset,South Region,Ullab,291983.0,169755,43833,2280,15223,Revenue,12220000,11242400,Nov,2024,122228,78395,60892,0.2085
TXN00485,2024-11-15,South,Bluetooth Speaker,West Region,Yolab,353184.0,196022,86286,5400,13095,Revenue,12260000,11279200,Nov,2024,157162,70876,52381,0.1483
TXN00038,2024-08-15,West,External SSD 2TB,West Region,Elmax,378675.0,214025,72411,5329,17382,Gross Profit,5255000,4834600,Aug,2024,164650,92239,69528,0.1836
TXN00492,2025-06-15,East,Mechanical Keyboard,East Region,Figen,197007.0,111068,67866,5624,2489,Net Profit,2120000,1950400,Jun,2025,85939,18073,9960,0.0506
TXN00198,2024-12-15,North,External SSD 2TB,West Region,Apro,202637.0,111887,70994,3153,3320,Operating Expenses,3280000,3444000,Dec,2024,90750,19756,13283,0.0656
TXN00073,2024-07-15,East,Laptop Stand,East Region,Apro,322512.0,177671,84366,3220,11451,Operating Expenses,3005000,3155250,Jul,2024,144841,60475,45804,0.142
TXN00107,2025-05-15,West,Wireless Mouse,West Region,Yozon,372985.0,218240,51436,6021,19457,Operating Expenses,3530000,3706500,May,2025,154745,103309,77831,0.2087
TXN00150,2024-12-15,West,External SSD 2TB,South Region,Azon,264030.0,150292,81334,6736,5133,Operating Expenses,3275000,3438750,Dec,2024,113738,32404,20535,0.0778
TXN00233,2024-11-15,North,External SSD 1TB,North Region,Vigen,240365.0,136320,59626,4041,8075,Net Profit,1730000,1591600,Nov,2024,104045,44419,32303,0.1344
TXN00394,2025-04-15,East,Bluetooth Speaker,South Region,Wamax,444887.0,257844,56093,6121,24965,Gross Profit,5710000,5253200,Apr,2025,187043,130950,99864,0.2245
TXN00452,2025-02-15,East,Laptop Stand,South Region,Misys,354934.0,206046,67499,2573,15763,Net Profit,1910000,1757200,Feb,2025,148888,81389,63053,0.1776
TXN00084,2025-06-15,East,Webcam HD,South Region,Bepro,272866.0,151729,36425,5569,15828,Gross Profit,5780000,5317600,Jun,2025,121137,84712,63315,0.232
TXN00028,2024-10-15,West,4K Monitor 32,East Region,Orlab,273388.0,159686,33413,3010,15455,Revenue,12160000,11187200,Oct,2024,113702,80289,61824,0.2261
TXN00136,2024-10-15,North,Wireless Mouse,North Region,Papro,184065.0,106836,64900,2222,2021,Gross Profit,5370000,4940400,Oct,2024,77229,12329,8086,0.0439
TXN00011,2025-05-15,North,Mechanical Keyboard,South Region,Xezon,424470.0,246903,42062,5907,25919,Operating Expenses,3520000,3696000,May,2025,177567,135505,103679,0.2443
TXN00032,2025-02-15,South,Laptop Pro 14,West Region,Ivtek,252523.0,141860,60481,3658,9304,Revenue,12370000,11380400,Feb,2025,110663,50182,37220,0.1474
TXN00428,2025-02-15,North,Laptop Pro 16,South Region,Mimax,372417.0,206814,78960,2572,16814,Gross Profit,5610000,5161200,Feb,2025,165603,86643,67257,0.1806
TXN00061,2024-07-15,North,Office Monitor 24,South Region,Alab,336718.0,196318,45102,5897,17880,Gross Profit,5205000,4788600,Jul,2024,140400,95298,71521,0.2124
TXN00142,2025-04-15,North,Laser Printer,West Region,Tilab,416345.0,245958,58502,5770,21223,Revenue,12485000,11486200,Apr,2025,170387,111885,84892,0.2039
TXN00231,2024-09-15,West,Noise Cancelling Headset,West Region,Lusys,432645.0,243696,85613,4260,19815,Net Profit,1625000,1495000,Sep,2024,188949,103336,79261,0.1832
TXN00341,2024-11-15,East,External SSD 1TB,South Region,Xetek,364909.0,215038,60997,5705,16633,Revenue,12245000,11265400,Nov,2024,149871,88874,66536,0.1823
TXN00241,2024-07-15,South,Bluetooth Speaker,North Region,Betek,225461.0,128417,30313,4417,12462,Revenue,12025000,11063000,Jul,2024,97044,66731,49852,0.2211
TXN00356,2025-02-15,West,USB-C Dock,North Region,Lusys,265157.0,153691,53857,5319,10458,Net Profit,1900000,1748000,Feb,2025,111466,57609,41832,0.1578
TXN00015,2024-09-15,West,4K Monitor 32,East Region,Jomax,188387.0,107192,89679,6972,-3091,Gross Profit,5305000,4880600,Sep,2024,81195,-8484,-12365,-0.0656
TXN00459,2024-09-15,West,Mechanical Keyboard,West Region,Nohub,334505.0,199949,67334,3699,12704,Operating Expenses,3150000,3307500,Sep,2024,134556,67222,50819,0.1519
TXN00135,2024-09-15,North,Bluetooth Speaker,South Region,Kasys,367676.0,219717,43930,5867,19632,Net Profit,1615000,1485800,Sep,2024,147959,104029,78530,0.2136
TXN00217,2024-07-15,North,Noise Cancelling Headset,West Region,Anest,314626.0,173323,85762,2278,10652,Operating Expenses,3020000,3171000,Jul,2024,141303,55541,42611,0.1354
TXN00006,2024-12-15,North,External SSD 1TB,North Region,Yohub,435929.0,260198,33113,6885,27146,Operating Expenses,3260000,3423000,Dec,2024,175731,142618,108587,0.2491
TXN00056,2025-02-15,South,Bluetooth Speaker,South Region,Ivzon,169592.0,94807,31388,6120,7455,Operating Expenses,3370000,3538500,Feb,2025,74785,43397,29822,0.1758
TXN00466,2025-04-15,South,Webcam HD,East Region,Wagen,224764.0,125675,45071,5189,9765,Net Profit,2015000,1853800,Apr,2025,99089,54018,39064,0.1738
TXN00168,2025-06-15,East,External SSD 2TB,North Region,Calab,432216.0,253503,69626,5872,20643,Revenue,12590000,11582800,Jun,2025,178713,109087,82572,0.191
TXN00482,2024-08-15,North,Laptop Pro 16,North Region,Ivhub,261792.0,147776,32242,4787,15397,Operating Expenses,3100000,3255000,Aug,2024,114016,81774,61590,0.2353
TXN00397,2024-07-15,West,Wireless Mouse,West Region,Capro,371143.0,208351,38391,6923,23495,Gross Profit,5240000,4820800,Jul,2024,162792,124401,93983,0.2532
TXN00040,2024-10-15,East,Ergonomic Mouse,West Region,Orpro,307434.0,169311,84912,4568,9728,Gross Profit,5360000,4931200,Oct,2024,138123,53211,38915,0.1266
TXN00496,2024-10-15,North,Noise Cancelling Headset,South Region,Tisys,214507.0,119170,38920,5548,10173,Net Profit,1705000,1568600,Oct,2024,95337,56417,40696,0.1897
TXN00210,2024-12-15,East,Desktop Workstation,East Region,Ahub,344892.0,199760,51069,3760,18060,Net Profit,1780000,1637600,Dec,2024,145132,94063,72243,0.2095
TXN00269,2024-11-15,East,Noise Cancelling Headset,East Region,Wazon,273063.0,162791,83926,5177,4233,Operating Expenses,3235000,3396750,Nov,2024,110272,26346,16936,0.062
TXN00087,2024-09-15,East,External SSD 1TB,West Region,Jogen,263971.0,147251,76364,5157,7039,Net Profit,1610000,1481200,Sep,2024,116720,40356,28160,0.1067
TXN00204,2025-06-15,East,Mechanical Keyboard,East Region,Cagen,324458.0,181122,48493,2492,18470,Net Profit,2090000,1922800,Jun,2025,143336,94843,73881,0.2277
TXN00350,2024-08-15,East,Noise Cancelling Headset,East Region,Hasys,329059.0,188567,70414,3350,13345,Net Profit,1585000,1458200,Aug,2024,140492,70078,53383,0.1622
TXN00031,2025-01-15,East,Office Monitor 27,West Region,Cahub,228886.0,130273,80817,4367,2685,Operating Expenses,3315000,3480750,Jan,2025,98613,17796,10744,0.0469
TXN00232,2024-10-15,North,Webcam HD,North Region,Qipro,198119.0,118852,62254,4651,2472,Gross Profit,5380000,4949600,Oct,2024,79267,17013,9890,0.0499
TXN00169,2024-07-15,West,Bluetooth Speaker,West Region,Asoft,374536.0,209780,77279,5757,16344,Operating Expenses,3015000,3165750,Jul,2024,164756,87477,65376,0.1746
TXN00209,2024-11-15,North,Business Laptop 15,South Region,Vipro,173726.0,97435,57216,2235,3368,Gross Profit,5430000,4995600,Nov,2024,76291,19075,13472,0.0775
TXN00317,2024-11-15,South,Mechanical Keyboard,East Region,Wahub,245809.0,135609,54147,6199,9970,Operating Expenses,3240000,3402000,Nov,2024,110200,56053,39884,0.1623
TXN00007,2025-01-15,East,Bluetooth Speaker,North Region,Calab,357363.0,207084,49321,3900,19411,Revenue,12315000,11329800,Jan,2025,150279,100958,77647,0.2173
TXN00129,2025-03-15,North,USB-C Dock,North Region,Orzon,391918.0,226138,46096,4469,23043,Operating Expenses,3430000,3601500,Mar,2025,165780,119684,92172,0.2352
TXN00024,2025-06-15,West,Desktop Workstation,West Region,Betek,321518.0,182769,77858,5681,11042,Revenue,12575000,11569000,Jun,2025,138749,60891,44168,0.1374
TXN00305,2024-11-15,West,4K Monitor 32,East Region,Wapro,295488.0,165455,34357,2395,18656,Gross Profit,5440000,5004800,Nov,2024,130033,95676,74625,0.2525
TXN00271,2025-01-15,South,Webcam HD,West Region,Fizon,368529.0,215806,69467,6119,15427,Operating Expenses,3340000,3507000,Jan,2025,152723,83256,61710,0.1674
TXN00181,2024-07-15,South,Office Monitor 24,North Region,Aline,197567.0,114857,72185,6503,804,Net Profit,1515000,1393800,Jul,2024,82710,10525,3218,0.0163
TXN00403,2025-01-15,East,Noise Cancelling Headset,West Region,Gopro,409915.0,242518,55762,4682,21390,Gross Profit,5555000,5110600,Jan,2025,167397,111635,85563,0.2087
TXN00184,2024-10-15,South,Laptop Pro 14,East Region,Qimax,230231.0,137939,31274,4829,11237,Gross Profit,5375000,4945000,Oct,2024,92292,61018,44952,0.1952
TXN00297,2025-03-15,North,Business Laptop 15,West Region,Qitek,434087.0,251810,80584,4076,19523,Revenue,12450000,11454000,Mar,2025,182277,101693,78094,0.1799
TXN00472,2024-10-15,North,Laptop Pro 14,North Region,Timax,230992.0,133410,55231,3087,7852,Gross Profit,5405000,4972600,Oct,2024,97582,42351,31412,0.136
TXN00001,2024-07-15,North,Noise Cancelling Headset,North Region,Atek,299989.0,176342,82721,2452,7694,Revenue,12000000,11040000,Jul,2024,123647,40926,30780,0.1026
TXN00424,2024-10-15,South,Office Printer,East Region,Supro,165925.0,98264,88783,4139,-5052,Gross Profit,5400000,4968000,Oct,2024,67661,-21122,-20209,-0.1218
TXN00421,2024-07-15,North,External SSD 2TB,South Region,Cagen,210622.0,124213,50896,2708,6561,Net Profit,1540000,1416800,Jul,2024,86409,35513,26244,0.1246
TXN00281,2024-11-15,West,Business Laptop 15,South Region,Wasys,255360.0,153212,30360,6207,13116,Net Profit,1735000,1596200,Nov,2024,102148,71788,52465,0.2055
TXN00331,2025-01-15,South,Laser Printer,South Region,Figen,392809.0,227118,84706,6613,14874,Net Profit,1845000,1697400,Jan,2025,165691,80985,59498,0.1515
TXN00220,2024-10-15,South,4K Monitor 32,North Region,Qilab,223169.0,123385,74066,2295,4684,Revenue,12180000,11205600,Oct,2024,99784,25718,18739,0.084
TXN00093,2025-03-15,North,Wireless Keyboard,North Region,Nogen,210013.0,117854,86416,4944,159,Net Profit,1925000,1771000,Mar,2025,92159,5743,640,0.003
TXN00282,2024-12-15,North,Desktop Workstation,North Region,Aware,255356.0,146291,51169,4798,10619,Gross Profit,5490000,5050800,Dec,2024,109065,57896,42479,0.1664
TXN00377,2024-11-15,West,Laser Printer,South Region,Xesys,294035.0,169625,50630,4504,13855,Net Profit,1745000,1605400,Nov,2024,124410,73780,55421,0.1885
TXN00409,2024-07-15,North,Laptop Pro 16,West Region,Cahub,276311.0,163001,43809,5232,12853,Operating Expenses,3040000,3192000,Jul,2024,113310,69501,51416,0.1861
TXN00255,2024-09-15,East,External SSD 2TB,East Region,Lupro,150484.0,89613,45515,3719,2327,Gross Profit,5330000,4903600,Sep,2024,60871,15356,9310,0.0619
TXN00148,2024-10-15,North,Mechanical Keyboard,West Region,Pahub,409219.0,242196,34302,5655,25413,Operating Expenses,3170000,3328500,Oct,2024,167023,132721,101653,0.2484
TXN00266,2024-08-15,North,USB-C Dock,South Region,Golab,370120.0,219375,68314,3631,15760,Revenue,12080000,11113600,Aug,2024,150745,82431,63040,0.1703
TXN00076,2024-10-15,North,Office Monitor 24,North Region,Patek,368978.0,216804,40697,3742,21547,Revenue,12165000,11191800,Oct,2024,152174,111477,86188,0.2336
TXN00294,2024-12-15,North,Laptop Pro 14,North Region,Asoft,316016.0,179254,58226,6152,14476,Operating Expenses,3290000,3454500,Dec,2024,136762,78536,57908,0.1832
TXN00302,2024-08-15,South,Ergonomic Mouse,South Region,Gogen,368544.0,211378,65415,5154,17319,Net Profit,1580000,1453600,Aug,2024,157166,91751,69278,0.188
TXN00199,2025-01-15,North,Office Printer,South Region,Ellab,196204.0,112002,66669,5520,2402,Revenue,12335000,11348200,Jan,2025,84202,17533,9611,0.049
TXN00138,2024-12-15,North,Office Printer,North Region,Amax,341756.0,192481,87963,4460,11370,Gross Profit,5475000,5037000,Dec,2024,149275,61312,45482,0.1331
TXN00443,2025-05-15,East,Bluetooth Speaker,North Region,Asoft,389516.0,218741,51411,6552,22562,Operating Expenses,3565000,3743250,May,2025,170775,119364,90250,0.2317
TXN00458,2024-08-15,East,Office Monitor 24,East Region,Ivlab,196546.0,108558,31982,6705,9860,Revenue,12100000,11132000,Aug,2024,87988,56006,39441,0.2007
TXN00395,2025-05-15,East,External SSD 2TB,North Region,Alink,282234.0,155439,80242,3169,8676,Operating Expenses,3560000,3738000,May,2025,126795,46553,34708,0.123
TXN00292,2024-10-15,North,Wireless Keyboard,South Region,Razon,282436.0,156308,31470,2891,18353,Operating Expenses,3185000,3344250,Oct,2024,126128,94658,73414,0.2599
TXN00189,2025-03-15,North,Bluetooth Speaker,East Region,Orgen,347171.0,199918,46591,3659,19400,Net Profit,1935000,1780200,Mar,2025,147253,100662,77603,0.2235
TXN00471,2024-09-15,South,Office Printer,North Region,Nogen,368784.0,219605,32434,4179,22513,Net Profit,1650000,1518000,Sep,2024,149179,116745,90053,0.2442
TXN00064,2024-10-15,West,Office Monitor 24,West Region,Orgen,414369.0,235472,57502,2027,23873,Net Profit,1660000,1527200,Oct,2024,178897,121395,95495,0.2305
TXN00235,2025-01-15,North,Laser Printer,East Region,Elgen,320263.0,182489,56758,3923,15418,Net Profit,1835000,1688200,Jan,2025,137774,81016,61675,0.1926
